72;'Городской округ Сухой Лог';47375;33497;'МФЦ';'624800, Свердловская область, г. Сухой Лог, ул. Гагарина, д. 3';'56.903096, 62.040115';10;22.12.2014;'федеральная';'аренда/безвозмездное пользование';348,8;'Действующий'
73;'Ивдельский городской округ';21346;15659;'МФЦ';'624590, Свердловская область, г. Ивдель, ул. Трошева, д. 37';'60.703289, 60.415143';5;06.11.2014;'региональная';'оперативное управление';174,7;'Действующий'
74;'Каменский городской округ';27430;3812;'МФЦ';'623462, Свердловская обл, пгт. Мартюш, ул. Титова, д. 8';'56.398401, 61.881670';4;25.09.2015;'муниципальная';'безвозмездное пользование';47,3;'Действующий'
75;;;2318;'ТОСП';'623460, Свердловская обл, с. Колчедан, ул. Беляева, д. 12А';'56.368355, 62.185103';1;31.12.2015;'муниципальная';'безвозмездное пользование';16,6;'Действующий'
76;;;1173;'ТОСП';'623487, Свердловская обл, с. Маминское, ул. Чапаева, д. 1Б';'56.438801, 61.406472';1;30.10.2015;'муниципальная';'безвозмездное пользование';9;'Действующий'
77;'Камышловский муниципальный район, Галкинское сельское поселение';28914;711;'ТОСП';'624833, Свердловская область, Камышловский р-н, с. Квашнинское, ул. Ленина, д. 49';'57.095424, 62.686551';1;25.09.2015;'муниципальная';'безвозмездное пользование';17,4;'Действующий'
78;'Камышловский муниципальный район, Зареченское сельское поселение';;775;'ТОСП';'624841, Свердловская область, Камышловский р-н, д. Баранникова, ул. Пионерская, д. 12';'56.805727, 62.790783';1;25.09.2015;'муниципальная';'безвозмездное пользование';12,2;'Действующий'
79;'Камышловский муниципальный район, Калиновское сельское поселение';;10038;'ТОСП';'624538, Свердловская область , Камышловский район, пгт. Елань, п/о Порошино, д. 8/1';'56.836575, 62.502631';2;10.10.2015;'муниципальная';'безвозмездное пользование';24;'Действующий'
80;'Камышловский муниципальный район, Обуховское сельское поселение';;2395;'ТОСП';'624852, Свердловская область, Камышловский р-н, с. Обуховское, ул. Мира, д. 114А';'56.834161, 62.612036';1;25.09.2015;'муниципальная';'безвозмездное пользование';10,3;'Действующий'
81;'Камышловский городской округ';25582;25582;'МФЦ';'624860, Свердловская область, г. Камышлов, ул. Ленинградская, д. 12';'56.838233, 62.711309';6;28.11.2014;'региональная';'оперативное управление';535,9;'Действующий'
82;'Качканарский городской округ';39769;38441;'МФЦ';'624351, Свердловская область, г. Качканар, мкр. 8-й, д. 18';'58.707120, 59.476350';8;03.10.2013;'региональная';'безвозмездное пользование';228,5;'Действующий'
83;'Кировградский городской округ';24591;18956;'МФЦ';'624140, Свердловская область, г. Кировград, ул. Кировградская, д. 48';'57.439683, 60.049996';6;09.12.2014;'региональная';'оперативное управление';158,5;'Действующий'
84;'Красноуфимский округ';25021;1442;'ТОСП';'623320, Свердловская область, пгт. Натальинск, ул. Ленина, д. 31';'56.474559, 57.868527';2;22.12.2014;'муниципальная';'безвозмездное пользование';24,7;'Действующий'
85;'Кушвинский городской округ';36500;27624;'МФЦ';'624300, Свердловская область, г. Кушва, ул. Фадеевых, д. 17';'58.286867, 59.757954';7;27.09.2013;'региональная';'оперативное управление';189,3;'Действующий'
86;;;9461;'ТОСП';'624315, Свердловская область, п. Баранчинский, ул. Коммуны, д. 7';'58.163311, 59.697803';2;22.11.2013;'муниципальная';'безвозмездное пользование';28;'Действующий'
87;'Малышевский городской округ';10192;8983;'ТОСП';'624286, Свердловская область, пгт. Малышева, ул. Азина, д. 20А';'57.119024, 61.395475';3;08.12.2014;'муниципальная';'безвозмездное пользование';31,7;'Действующий'
88;'Невьянский городской округ';40265;22943;'МФЦ';'624194, Свердловская область, г. Невьянск, ул. Ленина, д. 20';'57.486116, 60.217218';9;29.10.2014;'муниципальная';'безвозмездное пользование';191,1;'Действующий'
89;'Нижнесергинский муниципальный район, Нижнесергинское городское поселение';39316;9109;'МФЦ';'623090, Свердловская область, г. Нижние Серги, ул. Ленина, д. 37';'56.661314, 59.297271';4;30.12.2013;'частная';'аренда';125,9;'Действующий'
90;'Нижнесергинский муниципальный район, Михайловское муниципальное образование';;8776;'ТОСП';'623080, Свердловская область, Нижнесергинский р-н, г. Михайловск, ул Кирова, д. 55';'56.435352, 59.120842';3;25.09.2015;'региональная';'оперативное управление';36;'Действующий'
91;'Нижнесергинский муниципальный район, городское поселение рабочий посёлок Атиг';;3106;'ТОСП';'623075, Свердловская область, Нижнесергинский р-н, пгт. Атиг, ул. Заводская, д. 8';'56.693219, 59.421894';1;25.09.2015;'муниципальная';'безвозмездное пользование';41,6;'Действующий'
92;'Нижнесергинский муниципальный район, городское поселение Верхние Серги';;5622;'ТОСП';'623070, Свердловская область, Нижнесергинский р-н, пгт. Верхние Серги, ул. Ленина, д. 16';'56.649528, 59.559911';1;22.12.2014;'муниципальная';'безвозмездное пользование';10;'Действующий'
